,repository,language,stars,commits,files,lifetime,link
0,orleans,C#,6892,4929,2673,2062,"<a href=""https://plot.ly/""> </a>"
1,AutoMapper,C#,7489,3626,564,4208,"<a href=""https://plot.ly/""> </a>"
2,PowerShell,C#,22095,8300,1282,2006,"<a href=""https://plot.ly/""> </a>"
3,ShareX,C#,13785,6344,753,2498,"<a href=""https://plot.ly/""> </a>"
4,ILSpy,C#,11047,6159,1103,4692,"<a href=""https://plot.ly/""> </a>"
5,aspnetboilerplate,C#,8803,6550,2285,2546,"<a href=""https://plot.ly/""> </a>"
6,Nancy,C#,7131,5476,961,4017,"<a href=""https://plot.ly/""> </a>"
7,efcore,C#,9456,10538,3572,2392,"<a href=""https://plot.ly/""> </a>"
8,IdentityServer4,C#,7065,3203,1141,1722,"<a href=""https://plot.ly/""> </a>"
9,wpf,C#,4664,2473,4286,642,"<a href=""https://plot.ly/""> </a>"
10,cocos2d-x,C++,14644,37350,1906,3650,"<a href=""https://plot.ly/""> </a>"
11,terminal,C++,67844,1616,730,1095,"<a href=""https://plot.ly/""> </a>"
12,swift,C++,53457,111706,2472,3677,"<a href=""https://plot.ly/""> </a>"
13,tesseract,C++,36341,4628,599,4881,"<a href=""https://plot.ly/""> </a>"
14,rethinkdb,C++,24012,33430,687,3961,"<a href=""https://plot.ly/""> </a>"
15,emscripten,C++,19604,21523,2925,3638,"<a href=""https://plot.ly/""> </a>"
16,grpc,C++,27543,46748,2009,2089,"<a href=""https://plot.ly/""> </a>"
17,rocksdb,C++,17699,9388,1024,3450,"<a href=""https://plot.ly/""> </a>"
18,v8,C++,15959,64418,2767,4425,"<a href=""https://plot.ly/""> </a>"
19,folly,C++,15582,8859,1586,2993,"<a href=""https://plot.ly/""> </a>"
20,elasticsearch,Java,51033,54699,13955,3837,"<a href=""https://plot.ly/""> </a>"
21,spring-boot,Java,50495,28674,5600,2851,"<a href=""https://plot.ly/""> </a>"
22,RxJava,Java,43430,5780,1909,3062,"<a href=""https://plot.ly/""> </a>"
23,guava,Java,38748,5328,3190,4067,"<a href=""https://plot.ly/""> </a>"
24,dubbo,Java,33531,4396,2338,3217,"<a href=""https://plot.ly/""> </a>"
25,glide,Java,29870,2524,674,2791,"<a href=""https://plot.ly/""> </a>"
26,jadx,Java,23369,1320,926,2702,"<a href=""https://plot.ly/""> </a>"
27,fastjson,Java,22363,3720,2953,3287,"<a href=""https://plot.ly/""> </a>"
28,spring-framework,Java,39237,21537,7432,4414,"<a href=""https://plot.ly/""> </a>"
29,druid,Java,22174,6154,4091,3357,"<a href=""https://plot.ly/""> </a>"
30,node,JavaScript,72977,31653,16379,4195,"<a href=""https://plot.ly/""> </a>"
31,Font-Awesome,JavaScript,63904,70,1639,3071,"<a href=""https://plot.ly/""> </a>"
32,angular.js,JavaScript,59508,9020,1119,18473,"<a href=""https://plot.ly/""> </a>"
33,three.js,JavaScript,63402,34991,1380,3794,"<a href=""https://plot.ly/""> </a>"
34,prettier,JavaScript,37678,4672,3198,1351,"<a href=""https://plot.ly/""> </a>"
35,material-ui,JavaScript,60977,12597,8659,2184,"<a href=""https://plot.ly/""> </a>"
36,next.js,JavaScript,53234,6947,2997,1405,"<a href=""https://plot.ly/""> </a>"
37,lodash,JavaScript,46492,7998,558,3926,"<a href=""https://plot.ly/""> </a>"
38,moment,JavaScript,44752,3939,745,3431,"<a href=""https://plot.ly/""> </a>"
39,incubator-echarts,JavaScript,42860,5984,643,2683,"<a href=""https://plot.ly/""> </a>"
40,youtube-dl,Python,70774,17749,850,4389,"<a href=""https://plot.ly/""> </a>"
41,django,Python,51974,28765,2674,5508,"<a href=""https://plot.ly/""> </a>"
42,ansible,Python,44747,50652,1429,3092,"<a href=""https://plot.ly/""> </a>"
43,scikit-learn,Python,42283,26107,805,3871,"<a href=""https://plot.ly/""> </a>"
44,cpython,Python,33488,108071,2001,10960,"<a href=""https://plot.ly/""> </a>"
45,sentry,Python,26064,31770,2832,4474,"<a href=""https://plot.ly/""> </a>"
46,pandas,Python,26525,24064,1123,4029,"<a href=""https://plot.ly/""> </a>"
47,pipenv,Python,20961,6936,1009,1293,"<a href=""https://plot.ly/""> </a>"
48,spaCy,Python,17201,11609,685,2231,"<a href=""https://plot.ly/""> </a>"
49,zulip,Python,12556,39109,1105,2905,"<a href=""https://plot.ly/""> </a>"
